"nazwa","wyświetlacz","pamięć_RAM","pamięć_wbudowana","aparat_foto","cena","liczba_opinii","ocena_klientów","status_opinii"
"Xiaomi Mi 11","6.81 cali","8 GB","256 GB","108 Mpix",2999,"162","5","więcej 100 opinii"
"Xiaomi Mi 10T Pro","6.67 cali","8 GB","128 GB","108 Mpix",1999,"285","3","więcej 100 opinii"
"Xiaomi Redmi Note 10 Pro","6.67 cali","6 GB","128 GB","108 Mpix",1399,"191","4.5","więcej 100 opinii"
"Xiaomi Poco X3 Pro","6.67 cali","6 GB","128 GB","48 Mpix",1099,"333","4","więcej 100 opinii"
"Xiaomi Redmi 10","6.5 cala","4 GB","64 GB","50 Mpix",799,"115","4.5","więcej 100 opinii"
"Xiaomi Mi 11 Lite","6.55 cala","6 GB","128 GB","64 Mpix",1699,"28","3","mniej 50 opinii"
"Xiaomi Redmi Note 10","6.43 cali","4 GB","64 GB","48 Mpix",899,"418","5","więcej 100 opinii"
"Xiaomi Poco X3 GT","6.6 cali","8 GB","128 GB","64 Mpix",1699,"80","3.5","50-100 opinii"
"Xiaomi Redmi 9","6.53 cala","3 GB","32 GB","13 Mpix",499,"310","5","więcej 100 opinii"
"Xiaomi Redmi Note 9 Pro","6.67 cali","6 GB","64 GB","64 Mpix",1299,"466","4.5","więcej 100 opinii"
"Xiaomi Redmi Note 11","6.5 cala","6 GB","128 GB","64 Mpix",1899,"55","5","50-100 opinii"
"Xiaomi Mi 12","6.7","8","256","108",2899,"230","4.5","więcej 100 opinii"
"Xiaomi Poco F4","6.5","6","128","64",1299,"80","3.5","50-100 opinii"
"Xiaomi Black Shark 4","6.67","12","512","64",2699,"150","4","więcej 100 opinii"
"Samsung Galaxy S21","6.2","8","128","108",3199,"100","5","więcej 100 opinii"
